Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric,24-Mar,6:57:39 PM,1,,,,,,,,
Doorway W1,Eric ,24-Mar,6:58:34 PM,,,,,,1,,,
Doorway W1,Eric,24-Mar,7:02:30 PM,1,,,,,,,,
Doorway W1,Eric ,24-Mar,7:07:49 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,7:08:34 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,7:13:33 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,7:57:05 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,7:57:15 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,7:57:20 PM,,,,,,,,,Man walks OUT and then circles back around to go IN
Doorway W1,Eric ,24-Mar,7:57:25 PM,,,,,,1,,,
Doorway W1,Eric,24-Mar,7:57:36 PM,,,,1,,,,,
Doorway W1,Eric ,24-Mar,7:57:44 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,7:57:56 PM,,,,,,,1,,
Doorway W1,Eric ,24-Mar,7:58:49 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,8:00:33 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,8:00:38 PM,1,,,,1,,,,Man lingers OUT then walks IN
Doorway W1,Eric,24-Mar,8:03:13 PM,,,,,,1,,,
Doorway W1,Eric ,24-Mar,9:53:40 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,9:54:34 PM,1,,,,,,,,
Doorway W1,Eric,25-Mar,7:02:13 AM,,1,,,,,,,
Doorway W1,Eric ,25-Mar,7:04:05 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,7:27:34 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,7:29:07 AM,,1,,,,,,,
Doorway W1,Eric ,25-Mar,7:49:52 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,7:49:55 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,7:50:54 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,7:53:30 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,8:41:59 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,8:43:44 AM,,1,,,,,,,
Doorway W1,Eric ,25-Mar,8:44:14 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,8:45:08 AM,1,1,,,,,,,One person walks IN and one person walks OUT
Doorway W1,Eric,25-Mar,8:47:03 AM,,1,,,,,,,
Doorway W1,Eric ,25-Mar,8:48:13 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,8:53:16 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:08:38 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:11:59 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,9:14:58 AM,1,1,,,,,,,One person walks IN and one person walks OUT
Doorway W1,Eric,25-Mar,9:16:15 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:42:42 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,9:44:43 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:45:41 AM,,,,1,,,,,
Doorway W1,Eric ,25-Mar,9:50:29 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:50:31 AM,,,,,,1,,,
Doorway W1,Eric,25-Mar,9:50:53 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:50:57 AM,,,,,,1,,,
Doorway W1,Eric,25-Mar,9:50:58 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:50:59 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:51:01 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:51:03 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:51:07 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:51:20 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:52:05 AM,,,,,,1,,,
Doorway W1,Eric,25-Mar,9:52:08 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:52:47 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,12:53:16 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:53:28 AM,,,,,,1,,,
Doorway W1,Eric ,25-Mar,9:53:36 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,9:53:51 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:53:56 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:54:04 AM,,,,,,,,,
Doorway W1,Eric,25-Mar,9:55:08 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,9:56:21 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:56:41 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,9:56:46 AM,,,,,,1,,,
Doorway W1,Eric,25-Mar,9:56:55 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:57:32 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:57:49 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,9:58:46 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,9:58:59 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,9:59:17 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,10:01:30 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,10:02:04 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,10:02:20 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:03:16 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,10:03:26 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:04:40 AM,,,,,,1,,,
Doorway W1,Eric,25-Mar,10:05:20 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,10:05:26 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:09:35 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:09:51 AM,,,,,,1,,,
Doorway W1,Eric ,25-Mar,10:17:20 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,10:17:30 AM,1,,,,,,,,Man from before time who walked OUT sttood under waldo then walked IN
Doorway W1,Eric,25-Mar,10:17:51 AM,,,,1,,,,,
Doorway W1,Eric ,25-Mar,10:18:06 AM,,,,,1,,,,
Doorway W1,Eric,25-Mar,10:24:26 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,10:25:24 AM,,1,,,,,,,
Doorway W1,Eric ,25-Mar,10:27:55 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,10:38:15 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:30:30 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,10:35:30 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:39:01 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,10:40:55 AM,1,,,,,,,,
Doorway W1,Eric ,25-Mar,10:52:37 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:55:06 AM,1,,,,,,,,
Doorway W1,Eric,25-Mar,10:55:48 AM,,,,,,1,,,
Doorway W1,Eric ,25-Mar,10:55:57 AM,,,,,,1,,,
Doorway W1,Eric,25-Mar,10:56:10 AM,,,,,,1,,,
Doorway W1,Eric,25-Mar,10:56:13 AM,,,,,,1,,,
Doorway W1,Eric ,25-Mar,10:56:46 AM,,1,,,,,,,
Doorway W1,Eric,25-Mar,10:56:49 AM,,1,,,,,,,
