LabelType,TimeDiff,BSidx,BSrecord#,Date,Time,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,Date,Time,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,,,,,,,,,,,,225,14-Mar,11:01:25 AM,0,0,0,0,0,1,0,0
Null,,,,,,,,,,,,226,14-Mar,11:01:42 AM,0,0,0,1,0,0,0,0
CONFIRMED,8.0,26,55,14-Mar,11:01:53 AM,6,Valid,5,2,2,1,227,14-Mar,11:01:45 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,228,14-Mar,11:02:31 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,229,14-Mar,11:03:54 AM,1,0,0,0,0,0,0,0
CONFIRMED,3.0,27,58,14-Mar,11:04:45 AM,7,Valid,5,1,1,3,230,14-Mar,11:04:42 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,231,14-Mar,11:04:53 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,232,14-Mar,11:05:54 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,233,14-Mar,11:06:29 AM,0,1,0,0,0,0,0,0
CONFIRMED,4.0,28,59,14-Mar,11:07:01 AM,8,Valid,5,1,3,1,234,14-Mar,11:07:05 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,235,14-Mar,11:07:19 AM,1,0,0,0,0,0,0,0
CONFIRMED,1.0,29,62,14-Mar,11:12:06 AM,0,Valid,5,3,2,0,236,14-Mar,11:12:05 AM,0,1,0,0,0,0,0,0
CONFIRMED,4.0,30,63,14-Mar,11:15:44 AM,1,Valid,5,2,0,3,237,14-Mar,11:15:40 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,238,14-Mar,11:16:07 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,239,14-Mar,11:16:27 AM,1,0,0,0,0,0,0,0
CONFIRMED,3.0,31,64,14-Mar,11:18:11 AM,2,Valid,5,1,2,2,240,14-Mar,11:18:08 AM,1,0,0,0,0,0,0,0
CONFIRMED,2.0,32,65,14-Mar,11:23:44 AM,3,Valid,5,1,2,2,241,14-Mar,11:23:42 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,242,14-Mar,11:26:31 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,243,14-Mar,11:31:09 AM,0,0,0,0,1 (50 seconds),0,0,0
Null,,,,,,,,,,,,244,14-Mar,11:32:05 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,245,14-Mar,11:33:18 AM,0,0,0,0,1 (10 seconds),0,0,0
CONFIRMED,5.0,34,68,14-Mar,11:34:08 AM,5,Valid,5,0,2,3,246,14-Mar,11:34:03 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,247,14-Mar,11:37:03 AM,0,0,0,0,0,1,0,0
CONFIRMED,7.0,35,69,14-Mar,11:37:20 AM,6,Valid,5,3,0,2,248,14-Mar,11:37:27 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,249,14-Mar,11:37:40 AM,0,0,0,0,0,0,0,1
CONFIRMED,2.0,36,70,14-Mar,11:38:24 AM,7,Valid,5,2,2,1,250,14-Mar,11:38:22 AM,0,0,0,1,0,0,1,0
Null,,,,,,,,,,,,251,14-Mar,11:38:34 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,252,14-Mar,11:46:03 AM,0,0,0,1,0,0,0,0
CONFIRMED,16.0,39,72,14-Mar,11:57:48 AM,10,Valid,5,3,0,2,253,14-Mar,11:58:04 AM,0,0,0,1,0,0,0,0
CONFIRMED,14.0,40,74,14-Mar,11:59:06 AM,11,Valid,5,1,1,3,254,14-Mar,11:58:52 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,255,14-Mar,11:59:49 AM,0,0,0,1,0,0,0,0
CONFIRMED,11.0,41,75,14-Mar,12:00:14 PM,0,Valid,5,0,2,3,256,14-Mar,12:00:03 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,257,14-Mar,12:00:54 PM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,258,14-Mar,12:01:05 PM,0,0,0,0,1,0,0,0
Null,,,,,,,,,,,,259,14-Mar,12:01:11 PM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,260,14-Mar,12:01:20 PM,0,0,0,0,0,0,0,1
CONFIRMED,2.0,42,76,14-Mar,12:01:28 PM,1,Valid,5,1,2,2,261,14-Mar,12:01:26 PM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,262,14-Mar,12:01:57 PM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,263,14-Mar,12:02:05 PM,0,1,0,0,0,0,0,0
