Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments,,,,,,,,,,,,,,
,,3/14,10:30:49 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,10:30:57 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:31:01 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,10:31:08 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,10:31:24 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,10:31:44 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:31:50 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:31:55 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:32:03 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:32:11 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:34:30 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:34:40 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:35:05 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:43:32 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:43:39 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:43:45 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:48:12 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:49:10 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:49:54 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:50:44 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:50:52 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:51:32 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:51:43 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:51:58 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:53:46 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:53:55 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:54:47 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:55:16 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,10:58:24 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:58:33 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:58:36 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:59:34 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:00:53 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:01:25 AM,,,,,,1,,,,,,,,,,,,,,,,,
,,3/14,11:01:42 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:01:45 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:02:31 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,11:03:54 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:04:42 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:04:53 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,11:05:54 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:06:29 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:07:05 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:07:19 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:12:05 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:15:40 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:16:07 AM,,1,,,,,,,,,,,,,,,,,,,,,
,Kacie,3/14,11:16:27 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:18:08 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:23:42 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,11:26:31 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:31:09 AM,,,,,1 (50 seconds),,,,,,,,,,,,,,,,,,
,,3/14,11:32:05 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:33:18 AM,,,,,1 (10 seconds),,,,,,,,,,,,,,,,,,
,,3/14,11:34:03 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:37:03 AM,,,,,,1,,,,,,,,,,,,,,,,,
,,3/14,11:37:27 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:37:40 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,11:38:22 AM,,,,1,,,1,,two people walked outand someone passed by at the same time,,,,,,,,,,,,,,
,,3/14,11:38:34 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:46:03 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:58:04 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:58:52 AM,,,,1,,,,,Arwa goes to desk but doesnt completley pass by the camerea,,,,,,,,,,,,,,
,,3/14,11:59:49 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:00:03 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:00:54 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:01:05 PM,,,,,1,,,,nicole working on waldo,,,,,,,,,,,,,,
,,3/14,12:01:11 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:01:20 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,12:01:26 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,12:01:57 PM,,,,,,,,1,,,,,,,,,,,,,,,
,Kacie,3/14,12:02:05 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:18:09 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:23:49 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:26:31 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:31:11 AM,,,,,1,,,,Nicole standing in the doorway,,,,,,,,,,,,,,
,,3/14,11:32:06 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,11:33:32 AM,,,1,,1,,,,Arwa standing close lingering nearby WALDO for a long period of time,,,,,,,,,,,,,,
,,3/14,11:43:03 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:37:04 AM,,,,,,1,,,Two people walking in at the same time,,,,,,,,,,,,,,
,,3/14,11:37:27 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:37:42 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,11:38:27 AM,,,,,,,1,1,Two people walked out while multpile people passed by waldo,,,,,,,,,,,,,,
,,3/14,11:50:55 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,11:59:52 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,12:00:09 PM,,1,,,,,,,Dr. Sorber stopped in doorframe as he was walking out,,,,,,,,,,,,,,
,,3/14,12:00:54 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:01:04 PM,1,,,,,,,,Nicole walked in and started to take parts of WALDO down,,,,,,,,,,,,,,
,,3/14,12:01:20 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,12:01:26 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,12:01:56 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,12:02:05 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:04:40 PM,1,,,,,,,,,,,,,,,,,,,,,,
,Kacie,3/14,12:04:48 PM,1,,,,,,,,there was a passby at the same time as the in,,,,,,,,,,,,,,
,,3/14,12:04:53 PM,,,,,1,,,,nicole standing at table in the corner,,,,,,,,,,,,,,
,,3/14,12:06:57 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:07:37 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:07:41 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:07:50 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:11:35 PM,,,,,1,,,,nicole standing in the door messing with waldo,,,,,,,,,,,,,,
,,3/14,12:11:50 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:13:33 PM,,,,,1,,,,"nicole working on waldo, there was a passby far during this",,,,,,,,,,,,,,
,,3/14,12:14:38 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:14:46 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:15:32 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:16:24 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:16:34 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:16:48 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:17:07 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:17:39 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:17:49 PM,,,,1,,,,,foot also in the camera on the in side of door,,,,,,,,,,,,,,
,,3/14,12:17:53 PM,,,1,,,,,,walked in doorway and then turned around ,,,,,,,,,,,,,,
,,3/14,12:20:37 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:20:41 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:21:04 PM,,,,,,,,,nicole rolling in chair at the table in the corner,,,,,,,,,,,,,,
,,3/14,12:22:23 PM,,,,1,,,,,passed by to sit in chair then sat in view of camera,,,,,,,,,,,,,,
,,3/14,12:22:37 PM,,,,,,,,,nicole sitting in chair near doorway working on something at the bale,,,,,,,,,,,,,,
,,3/14,12:23:21 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:23:34 PM,,,,1,,,,,"
",,,,,,,,,,,,,,
,,3/14,12:23:55 PM,,,,1,,,,,nicole gets back into chair and sits in view of the camera,,,,,,,,,,,,,,
,,3/14,12:24:05 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:24:54 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:25:05 PM,,,1,,,,,,nicole rolls chair farther into view of camera,,,,,,,,,,,,,,
,,3/14,12:27:54 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,12:28:00 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:28:27 PM,,,,1,,,,,"Nicole sitting in chair in the corner through most of these videos, not sure if that affects what waldo sees",,,,,,,,,,,,,,
,,3/14,12:29:52 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:29:57 PM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,12:32:33 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:32:52 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:32:57 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:33:38 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:34:29 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,12:34:48 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:36:31 PM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,12:36:40 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:36:43 PM,,,,,1 (40 seconds),,,,,,,,,,,,,,,,,,
,,3/14,12:37:11 PM,,,,,1( enitire video),,,,,,,,,,,,,,,,,,
,,3/14,12:38:11 PM,,,,,1 (50 seconds),,,,,,,,,,,,,,,,,,
,,3/14,12:29:00 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:40:04 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:40:09 PM,,,,,1 (4 seconds),,,,,,,,,,,,,,,,,,
,,3/14,12:40:14 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:40:25 PM,,,,,1 (40 seconds),,,,,,,,,,,,,,,,,,
,,3/14,12:41:04 PM,,,,,1 (entire video),,,,,,,,,,,,,,,,,,
,,3/14,12:41:10 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:42:14 PM,,,,,1(enitre video),,,,,,,,,,,,,,,,,,
,,3/14,12:43:14 PM,,,,,1 (entire video),,,,,,,,,,,,,,,,,,
,,3/14,12:43:32 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:44:14 PM,,,,,1(entire video),,,,,,,,,,,,,,,,,,
,,3/14,12:45:11 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:45:14 PM,,,,,1 (25 seconds),,,,,,,,,,,,,,,,,,
,,3/14,12:46:11 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:46:15 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:46:56 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:47:32 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:48:27 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:49:25 PM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,12:49:55 PM,,,1,,,,,,"caught the very end of it, may have been an out",,,,,,,,,,,,,,
,,3/14,12:54:10 PM,,,,,1 (40 seconds),,,,,,,,,,,,,,,,,,
,,3/14,12:54:50 PM,,,,,1 (entire video),,,,,,,,,,,,,,,,,,
,,3/14,12:55:51 PM,,,,,1 (45 seconds),,,,nicole still sitting in chair in the corner throughout all of these videos,,,,,,,,,,,,,,
,,3/14,12:57:05 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:57:16 PM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:59:00 PM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,12:59:12 PM,1,,,,,,,,,,,,,,,,,,,,,,
