Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
W0,Kacie,14-Mar,12:29:57 PM,,,1,,,,,,
W0,Kacie,14-Mar,12:32:33 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:32:52 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:32:57 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:33:38 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:34:29 PM,,,,,,,,1,
W0,Kacie,14-Mar,12:34:48 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:36:31 PM,,,,,,,,1,
W0,Kacie,14-Mar,12:36:40 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:36:43 PM,,,,,1 (40 seconds),,,,
W0,Kacie,14-Mar,12:37:11 PM,,,,,1( enitire video),,,,
W0,Kacie,14-Mar,12:38:11 PM,,,,,1 (50 seconds),,,,
W0,Kacie,14-Mar,12:29:00 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:40:04 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:40:09 PM,,,,,1 (4 seconds),,,,
W0,Kacie,14-Mar,12:40:14 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:40:25 PM,,,,,1 (40 seconds),,,,
W0,Kacie,14-Mar,12:41:04 PM,,,,,1 (entire video),,,,
W0,Kacie,14-Mar,12:41:10 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:42:14 PM,,,,,1(enitre video),,,,
W0,Kacie,14-Mar,12:43:14 PM,,,,,1 (entire video),,,,
W0,Kacie,14-Mar,12:43:32 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:44:14 PM,,,,,1(entire video),,,,
W0,Kacie,14-Mar,12:45:11 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:45:14 PM,,,,,1 (25 seconds),,,,
W0,Kacie,14-Mar,12:46:11 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:46:15 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:46:56 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:47:32 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:48:27 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:49:25 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:49:55 PM,,,1,,,,,,"caught the very end of it, may have been an out"
W0,Kacie,14-Mar,12:54:10 PM,,,,,1 (40 seconds),,,,
W0,Kacie,14-Mar,12:54:50 PM,,,,,1 (entire video),,,,
W0,Kacie,14-Mar,12:55:51 PM,,,,,1 (45 seconds),,,,nicole still sitting in chair in the corner throughout all of these videos
W0,Kacie,14-Mar,12:57:05 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:57:16 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:59:00 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:59:12 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:59:23 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:59:35 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:59:49 PM,,1,,,,,,,
W0,Kacie,14-Mar,1:00:03 PM,1,,,,,,,,
