LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,180,1900-03-21 07:48:31,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,181,1900-03-21 08:01:18,0,0,0,0,1 (3 seconds),0,0,0
Null,0,,,,,,,,,,,182,1900-03-21 08:01:47,0,0,0,0,1 (4 seconds),0,0,0
Null,0,,,,,,,,,,,183,1900-03-21 08:02:35,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,184,1900-03-21 08:02:51,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,185,1900-03-21 08:03:25,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,186,1900-03-21 08:03:47,0,1,0,0,0,0,0,0
CONFIRMED,1,2.0,47,628,1900-03-21 08:04:23,0,Valid,5,4,1,0,187,1900-03-21 08:04:21,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,188,1900-03-21 08:04:44,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,189,1900-03-21 08:05:24,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,190,1900-03-21 08:05:25,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,191,1900-03-21 08:05:51,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,192,1900-03-21 08:13:55,1,0,0,0,0,0,0,0
CONFIRMED,1,0.0,48,631,1900-03-21 08:14:09,1,Valid,5,2,3,0,193,1900-03-21 08:14:09,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,194,1900-03-21 08:14:23,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,195,1900-03-21 08:14:39,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,196,1900-03-21 08:15:41,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,197,1900-03-21 08:16:05,0,1,0,0,0,0,0,0
CONFIRMED,1,1.0,49,633,1900-03-21 08:16:36,2,Valid,5,3,2,0,198,1900-03-21 08:16:35,1,0,0,0,0,0,0,0
