12/8/22 6:52:00,GT,,Waldo,EnOcean,if match,if not match,if match,if not match,,,,,ins ,in  correct,in incorrect,,outs,out correct,out incorrect
12/13/22 6:49:05,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 6:52:48,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 6:54:48,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 7:27:18,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 7:29:25,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 7:35:03,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 7:36:38,out/in,"subject goes out just enough to place something in the trash then exits on the in side, about 5 seconds",in,miss,,,,,,miss,,,,,,,,,
12/13/22 7:42:57,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 7:43:59,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 7:45:57,in,"two people walk in in quick succession, one after the other almost together",in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 8:09:52,in,"two people walk in in quick succession, one after the other almost together",in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 8:13:19,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 8:13:30,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 8:15:11,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 8:33:51,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 8:35:02,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 8:35:59,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 8:37:52,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 8:38:19,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 8:40:00,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 8:41:36,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 8:41:48,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 8:42:46,out,,pbout,miss,,,,nope,,miss,,,,,,,,,
12/13/22 9:02:30,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 9:24:48,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 9:34:06,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 9:35:08,out,,pbout,miss,,,,nope,,miss,,,,,,,,,
12/13/22 9:36:53,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 9:58:03,out,,out,miss,,,OUT,,,miss,****,,,,,,,,
12/13/22 10:00:06,pbin/in,person goes to throw trash away and turn back to exit on the in-side,in,hit,,,,,,hit,,,,,,,,,
12/13/22 10:00:54,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 10:23:42,in,janitor walks in carrying a broom otherwise normal,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 10:32:03,out,janitor walks out carrying a broom otherwise normal,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 10:34:15,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 10:42:13,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 10:45:13,in,"arwa walking very very slowly under the sensor, video shows 12 seconds",pbout,hit,,nope,,,,hit,,,,,,,,,
12/13/22 10:50:23,in,Dr. Dean coming in,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 10:57:25,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 11:00:17,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 11:00:42,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 11:01:40,out/pbout,subject goes out then pauses by the trash before continuing out about 7 seconds,pbout,miss,,,,,,miss,,,,,,,,,
12/13/22 11:03:10,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 11:14:21,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 11:15:03,out,,pbout,miss,,,,nope,,miss,,,,,,,,,
12/13/22 11:16:36,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 11:22:12,out,subject walks slowly under looking at phone about 6 seconds,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 11:25:12,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 11:25:57,out/linger/in,person crosses doorway to linger and throw away trash then turns back and walks in about 10 seconds,in,miss,,,,,,miss,,,,,,,,,
12/13/22 11:27:28,out/linger,person continues lingering and throw away trash  about 6 seconds,pbout,hit,,,,,,hit,,,,,,,,,
12/13/22 11:27:35,linger/in,person (again) lingers at trash can then walks back in  about 5 seconds,in,miss,,,,,,miss,,,,,,,,,
12/13/22 11:28:50,pbin/iliner/in,person (again) has trash to throw away only arm crosses threshold this time,in,miss,,,,,,miss,,,,,,,,,
12/13/22 11:33:24,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 11:47:04,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 12:00:06,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 12:05:20,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 12:27:18,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 12:28:48,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 12:30:07,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 12:30:33,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 12:32:48,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 12:36:50,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 12:44:12,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 12:50:48,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 12:50:55,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 12:52:52,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 12:54:19,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 12:56:18,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 12:59:48,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 13:00:31,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 13:02:01,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 13:08:41,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 13:11:49,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 13:14:39,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 13:15:03,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 13:15:41,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 13:16:26,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 13:18:13,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 13:19:44,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 13:21:45,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 13:25:42,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 13:32:53,pbout/in,trash lady coming up yet again to toss trash in - arm only crosses threshold,pbout,hit,,,,,,hit,,,,,,,,,
12/13/22 13:45:15,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 13:46:26,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 13:47:23,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 13:48:02,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 13:52:13,out/linger/in,trash lady strikes again! She crosses threshold and throws away trash to turn right back round,in,hit,,,,,,hit,,,,,,,,,
12/13/22 14:11:42,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/13/22 14:13:00,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 14:13:08,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 14:14:12,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 14:14:36,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 14:17:32,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 14:23:18,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 14:24:10,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 14:24:34,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 14:24:50,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 14:26:31,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 14:26:43,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/13/22 14:30:26,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/13/22 14:32:15,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/13/22 14:34:34,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/13/22 14:34:50,out/linger/in,trash lady strikes again! She crosses threshold and throws away trash to turn right back round,in,miss,,,,,,miss,,,,,,,,,
12/13/22 14:39:05,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
