LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,191,1900-03-14 16:04:31,0,1,0,0,0,0,0,0
CONFIRMED,1,0.0,37,126,1900-03-14 16:04:48,78,Valid,5,3,2,0,192,1900-03-14 16:04:48,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,193,1900-03-14 16:08:02,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,194,1900-03-14 16:11:41,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,195,1900-03-14 16:13:36,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,196,1900-03-14 16:15:50,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,197,1900-03-14 16:16:48,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,198,1900-03-14 16:16:53,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,199,1900-03-14 16:17:19,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,200,1900-03-14 16:17:33,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,201,1900-03-14 16:17:46,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,202,1900-03-14 16:18:11,0,1,0,0,0,0,0,0
CONFIRMED,2,0.0,39,128,1900-03-14 16:18:27,80,Valid,5,3,2,0,203,1900-03-14 16:18:27,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,204,1900-03-14 16:18:39,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,205,1900-03-14 16:18:55,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,206,1900-03-14 16:19:08,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,207,1900-03-14 16:19:13,1,0,0,0,0,0,0,0
CONFIRMED,1,1.0,40,129,1900-03-14 16:19:24,81,Valid,5,3,2,0,208,1900-03-14 16:19:23,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,209,1900-03-14 16:19:36,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,210,1900-03-14 16:19:50,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,211,1900-03-14 16:20:03,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,212,1900-03-14 16:20:20,1,0,0,0,0,0,0,0
CONFIRMED,1,0.0,41,131,1900-03-14 16:20:32,82,Valid,5,2,3,0,213,1900-03-14 16:20:32,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,214,1900-03-14 16:20:43,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,215,1900-03-14 16:20:54,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,216,1900-03-14 16:21:13,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,217,1900-03-14 16:21:28,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,218,1900-03-14 16:39:49,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,219,1900-03-14 16:40:02,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,220,1900-03-14 16:40:28,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,221,1900-03-14 16:40:46,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,222,1900-03-14 16:41:19,0,1,0,0,0,0,0,0
CONFIRMED,2,0.0,43,144,1900-03-14 16:41:36,84,Valid,5,3,2,0,223,1900-03-14 16:41:36,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,224,1900-03-14 16:42:06,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,225,1900-03-14 16:42:21,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,226,1900-03-14 16:43:09,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,227,1900-03-14 16:43:22,1,0,0,0,0,0,0,0
CONFIRMED,1,0.0,44,151,1900-03-14 16:43:48,85,Valid,5,3,2,0,228,1900-03-14 16:43:48,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,229,1900-03-14 16:44:03,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,230,1900-03-14 16:53:30,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,231,1900-03-14 16:54:12,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,232,1900-03-14 17:02:06,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,233,1900-03-14 17:05:32,0,1,0,0,0,0,0,0
CONFIRMED,2,1.0,46,156,1900-03-14 17:05:59,87,Valid,5,2,3,0,234,1900-03-14 17:05:58,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,235,1900-03-24 14:06:24,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,236,1900-03-24 14:06:42,1,0,0,0,0,0,0,0
CONFIRMED,1,6.0,47,711,1900-03-24 14:07:27,0,Valid,5,1,2,2,237,1900-03-24 14:07:21,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,238,1900-03-24 14:07:38,1,0,0,0,0,0,0,0
FPpkt,1,,48,714,1900-03-24 14:09:59,1,Valid,5,3,2,0,,,,,,,,,,
Null,0,,,,,,,,,,,239,1900-03-24 14:17:44,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,240,1900-03-24 14:24:39,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,241,1900-03-24 14:29:10,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,242,1900-03-24 14:49:27,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,243,1900-03-24 14:51:30,1,0,0,0,0,0,0,0
