,,,,,,,,Waldo:,Detected ppl,,EnOcean,,,,,,
1/12/23 12:08:59, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:09:35, preHW2,2,2,out/out,"two people walk out back to back, about 4 seconds",,out,out,1,,hit,,,,,,
1/12/23 12:11:03, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:12:17, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 12:12:41, preHW2,2,2,in/in,"two people walk in back to back, about 5 seconds",,in,in,1,,miss,,,,,,
1/12/23 12:12:53, preHW2,1,1,pbout,"guy walks by wall, maybe no event",,,pbi,1,,miss,,,,,,
1/12/23 12:15:24, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:15:42, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:16:22, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:16:36, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:17:09, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:17:19, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:17:56, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 12:19:52, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:21:53, preHW2,2,2,in/in,"two people walk in back to back, about 4 seconds",,in,in,1,,hit,,,,,,
1/12/23 12:22:18, preHW2,2,2,in/in,"two people walk in back to back, about 5 seconds",,in,in,1,,miss,,,,,,
1/12/23 12:22:30, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:22:50, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:23:07, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:24:40, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:28:15, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:30:20, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:30:43, preHW2,1,1,out,,,,in,1,,miss,,,,,,
1/12/23 12:31:37, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:32:31, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:33:07, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:36:16, preHW2,1,1,pbin,,,,pbi,1,,hit,,,,,,
1/12/23 12:36:29, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:37:36, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:38:39, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:38:45, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:39:39, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 12:41:46, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 12:43:50, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 13:15:14, preHW2,1,1,out,,,,in,1,,hit,,,,,,
1/12/23 13:16:33, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 13:17:16, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 13:18:03, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 13:19:53, preHW2,3,3,out/in,"three peopole out, in, in, about 6 seconds",,,in,1,,hit,,,,,,
1/12/23 13:23:29, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 13:31:40, preHW2,2,2,out/out,"two people walk out back to back, about 5 seconds",,out,out,1,,hit,,,,,,
1/12/23 13:31:46, preHW2,3,2,out/out,"three people walk in back to back, about 5 seconds",,out,out,1,,miss,,,,,,
1/12/23 13:32:00, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 13:32:04, preHW2,3,3,in/out,"three people in, out, out, in different directions about 5 seconds",,,out,1,,miss,,,,,,
1/12/23 13:32:54, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 13:43:25, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 13:43:32, preHW2,6,3,out/in,"six people walk under the sensor in different directions, about 10 seconds",,,in,1,,miss,,,,,,
1/12/23 13:44:55, preHW2,2,2,in/in,"two people walk in side by side, about 2 seconds",,in,in,1,,hit,,,,,,
1/12/23 13:45:49, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 13:46:14, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 13:48:03, preHW2,2,2,in/in,"two people walk in back to back, about 3 seconds",,in,in,1,,hit,,,,,,
1/12/23 13:49:11, preHW2,3,2,in/in,"three people walk in back to back, about 5 seconds",,in,in,1,,miss,,,,,,
1/12/23 13:51:05, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 13:51:13, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 13:51:54, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 13:52:52, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 13:55:54, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 13:59:13, preHW2,2,3,out/in,,,,pbin/in,2,,hit,,,,,,
1/12/23 14:48:03, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 14:49:22, preHW2,2,3,in/out,,,,in,1,,miss,,,,,,
1/12/23 14:50:37, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 14:52:50, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 15:02:02, preHW2,3,2,out/out,"three people walk out back to back, about 6 seconds",,out,out,1,,hit,,,,,,
1/12/23 15:02:44, preHW2,2,2,out/out,"two people walk out back to back, about 3 seconds",,out,out,1,,miss,,,,,,
1/12/23 15:04:27, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 15:04:51, preHW2,2,2,in/in,"two people walk in side by side, about 2 seconds",,in,in,1,,miss,,,,,,
1/12/23 15:06:56, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
